titlw,genre,date,wordNo,speechNo
Hamlet,Tragedy,1600,30557,1250
Richard III,History,1592,29278,1224
Coriolanus,Tragedy,1607,27589,1240
Cymbeline,Tragedy,1609,27565,979
Othello,Tragedy,1604,26450,1309
King Lear,Tragedy,1605,26145,1181
Henry V,History,1598,26119,853
Troilus and Cressida,Tragedy,1601,26089,1301
Henry IV - Part II,History,1597,25689,987
Henry VI - Part II,History,1590,25439,921
Winters Tale,Comedy,1610,24914,814
Antony and Cleopatra,Tragedy,1606,24905,1361
Henry VIII,History,1612,24629,788
Henry IV - Part I,History,1597,24579,884
Romeo and Juliet,Tragedy,1594,24545,989
Henry VI - Part III,History,1590,24294,949
Alls Well That Ends Well,Comedy,1602,23009,1034
Richard II,History,1595,22423,636
Merry Wives of Windsor,Comedy,1600,21845,1163
Measure for Measure,Comedy,1604,21780,987
As You Like It,Comedy,1599,21690,872
Henry VI - Part I,History,1591,21607,787
Loves Labours Lost,Comedy,1594,21459,1123
Merchant of Venice,Comedy,1596,21291,722
Much Ado about Nothing,Comedy,1598,21157,1062
Taming of the Shrew,Comedy,1593,21055,965
King John,History,1596,20772,621
Titus Andronicus,Tragedy,1593,20743,662
Twelfth Night,Comedy,1599,19837,1031
Julius Caesar,Tragedy,1599,19703,895
Pericles,History,1608,18529,756
Timon of Athens,Tragedy,1607,18216,870
Two Gentlemen of Verona,Comedy,1594,17129,943
Macbeth,Tragedy,1605,17121,765
Tempest,Comedy,1611,16633,702
Midsummer Nights Dream,Comedy,1595,16511,605
Comedy of Errors,Comedy,1589,14701,664
